"ISSUE","QX1","QX2","QX3","QX4","QX5","QX6","QX7","DATES"
2025123,8,0,6,5,7,9,7,"2025-10-26"
2025122,8,3,5,2,6,5,10,"2025-10-24"
2025121,8,4,8,1,4,5,3,"2025-10-21"
2025120,8,5,1,1,9,6,8,"2025-10-19"
2025119,3,9,8,9,5,9,10,"2025-10-17"
2025118,7,0,4,1,7,7,11,"2025-10-14"
2025117,4,5,4,2,7,1,4,"2025-10-12"
2025116,6,6,4,2,3,1,9,"2025-10-10"
2025115,1,7,0,6,2,9,12,"2025-10-7"
2025114,8,3,3,2,8,3,3,"2025-10-5"
2025113,0,9,1,4,1,1,8,"2025-9-30"
2025112,5,5,7,1,4,6,10,"2025-9-28"
2025111,9,0,4,8,4,2,11,"2025-9-26"
2025110,6,5,2,8,1,9,12,"2025-9-23"
2025109,3,6,7,1,8,3,13,"2025-9-21"
2025108,0,2,1,1,9,1,9,"2025-9-19"
2025107,8,4,8,8,2,0,3,"2025-9-16"
2025106,9,2,6,9,2,1,3,"2025-9-14"
2025105,7,8,7,3,4,7,0,"2025-9-12"
2025104,9,1,2,3,7,9,0,"2025-9-9"
2025103,7,6,2,2,4,0,3,"2025-9-7"
2025102,7,7,7,6,6,8,8,"2025-9-5"
2025101,5,0,5,0,3,6,12,"2025-9-2"
2025100,0,7,4,3,4,6,8,"2025-8-31"
2025099,7,2,3,9,4,5,12,"2025-8-29"
2025098,2,4,8,4,0,7,8,"2025-8-26"
2025097,3,9,7,3,6,5,6,"2025-8-24"
2025096,2,6,3,0,4,7,9,"2025-8-22"
2025095,6,1,5,2,9,3,13,"2025-8-19"
2025094,6,1,0,6,4,1,12,"2025-8-17"
2025093,0,7,4,8,2,8,10,"2025-8-15"
2025092,9,7,0,2,0,1,4,"2025-8-12"
2025091,2,0,4,9,3,8,8,"2025-8-10"
2025090,9,5,1,8,0,8,6,"2025-8-8"
2025089,7,1,9,6,0,0,14,"2025-8-5"
2025088,5,4,6,6,0,4,14,"2025-8-3"
2025087,1,6,4,7,6,4,14,"2025-8-1"
2025086,9,7,6,3,1,6,13,"2025-7-29"
2025085,9,4,5,4,3,8,2,"2025-7-27"
2025084,1,4,5,6,0,6,4,"2025-7-25"
2025083,5,4,5,0,7,5,7,"2025-7-22"
2025082,1,8,5,9,6,3,10,"2025-7-20"
2025081,4,1,9,0,2,3,2,"2025-7-18"
2025080,3,1,1,9,7,1,2,"2025-7-15"
2025079,5,7,2,7,6,4,11,"2025-7-13"
2025078,3,2,8,7,0,5,3,"2025-7-11"
2025077,0,2,3,4,5,2,6,"2025-7-8"
2025076,7,1,7,2,8,3,1,"2025-7-6"
2025075,2,9,1,7,1,8,5,"2025-7-4"
2025074,4,8,9,7,7,3,6,"2025-7-1"
2025073,1,4,2,6,3,5,12,"2025-6-29"
2025072,0,8,5,7,0,3,1,"2025-6-27"
2025071,5,0,3,7,2,5,0,"2025-6-24"
2025070,2,6,5,9,2,5,11,"2025-6-22"
2025069,5,3,5,4,2,5,3,"2025-6-20"
2025068,3,9,0,7,7,2,3,"2025-6-17"
2025067,2,2,1,9,1,4,2,"2025-6-15"
2025066,6,8,5,7,4,4,1,"2025-6-13"
